Video_content,Release_time,The_video_duration,Estimated_Sales_volume_(pieces),Estimated_sales_amount,Number_of_likes,Number_of_comments,Number_of_reposts,Name
幸好“油”你 #fyp,06-26 20:25:31,12秒,--,--,45048,4722,2209,Zhu Zixiao
#陪最后一届90后毕业 各位毕业的90的姐姐们，以后找好工作，多赚钱，往脸上擦贵的，体验萧亚轩的快乐！！,06-25 14:29:41,15秒,--,--,26046,999,164,Zhu Zixiao
你的王牌飞行员夏宇，申请出战！#壮志高飞,06-24 14:56:34,7秒,--,--,52813,2487,172,Zhu Zixiao
我这气质 也是没谁了#我的气质你模仿不来,06-20 15:12:33,15秒,--,--,137610,7433,1525,Zhu Zixiao
我又吃药了… 吃的是想你想的不要不要的药??#fyp #朱梓骁,06-18 10:01:52,13秒,--,--,176472,6694,1735,Zhu Zixiao
以后我公司招聘，我想好了，不需要你的简历了，带上你病例就行。#你永远是我的宝贝,06-16 15:00:34,6秒,--,--,53884,5547,280,Zhu Zixiao
这个… 好像正常的，都不爱… 现在流行喜欢得了大病的，脑回路不正常、专吃韭菜盒子的臭宝，害，我不香了…#fyp,06-15 10:36:50,11秒,--,--,54465,5416,1127,Zhu Zixiao
看你们挺喜欢我的freestyle的，再来一个吧。#学点本事保护你,06-13 12:01:36,15秒,--,--,30179,2101,206,Zhu Zixiao
给你们来个freestyle #爸爸妈妈听我说,06-11 12:10:56,13秒,--,--,103210,11081,862,Zhu Zixiao
来抖音之前，我真的就是在家吃韭菜盒子的、好看的大叔。#好久不见当你看到我出现,06-08 11:03:17,9秒,--,--,33800,1587,183,Zhu Zixiao
臭宝们油到你们了吗#我不是小朋友,06-06 16:56:56,6秒,--,--,30626,1256,182,Zhu Zixiao
勿忘初心，感谢有你们。,06-06 12:09:27,35秒,--,--,19073,1223,123,Zhu Zixiao
你们见过XXXL的双马尾吗？#双马尾弹力摇,06-02 17:28:14,13秒,--,--,24454,1802,161,Zhu Zixiao
,,,,,,,,
#交叉手变装 进阶版！看看有那味儿不？#大众资源库 #踢腿变装 #秋天的第一次变装,08-31 16:48:34,7秒,--,--,2709,189,130,Zi An
"#你被包围了 #抖in品类日 #潮奢包袋季 听说子安来了,包治百病?#coach #wowcoach",08-28 12:00:00,15秒,--,--,925,55,34,Zi An
#coach开挂！时髦女孩的第一支轻奢包怎么选？#wowcoach#包包推荐,08-27 20:48:09,49秒,--,--,3696,183,361,Zi An
挑战漫画女主穿搭！拿捏整个秋天??#超会穿企划 #穿搭 #初秋穿搭,08-26 20:53:12,1分40秒,--,--,2108,92,85,Zi An
